nmap 7.91-1
node-gyp 7.1.2-1
nodejs-lts-dubnium 10.24.0-1
notmuch 0.31-3
notmuch-runtime 0.31-3
noto-fonts-emoji 20200916-1
npm 7.7.0-1
npth 1.6-3
nspr 4.30-1
nss 3.63-1
nss-myhostname 0.3-4
ntfs-3g 2017.3.23-5
ntp 4.2.8.p15-1
ntp-openrc 20200709-1
ocl-icd 2.2.14-1
okular 20.12.3-1
oniguruma 6.9.6-1
openal 1.21.1-1
opencascade 7.5.0-3
opencollada 1:1.6.68-2
opencolorio1 1.1.1-2
opencore-amr 0.1.5-5
opencv 4.5.1-1
openexr 2.5.5-1
openimagedenoise 1.3.0-1
openimageio 2.2.12.0-1
openjpeg2 2.4.0-1
openmp 11.1.0-1
openmpi 4.0.5-3
openrc 0.42.1-18
openrc-settingsd 1.0.1-5
openshadinglanguage 1.11.12.0-1
openssh 8.5p1-1
openssh-openrc 20200620-1
openssl 1.1.1.j-1
opensubdiv 3.4.3-5
openvdb 8.0.1-1
openxr 1.0.14-1
opera-ffmpeg-codecs 88.0.4324.192-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.78-1
osm-gps-map 1.2.0-1.1
p11-kit 0.23.22-1
p7zip 17.03-2
pacman 5.2.2-2
pahole 1.20-2
pam 1.5.1-1
pam-u2f 1.1.0-1
pambase 20200721.1-2.1
pamixer 1.4-5
pandoc 2.13-1
pango 1:1.48.3-2
pangomm 2.46.0-1
partclone 0.3.17-1
parted 3.4-2
partimage 0.6.9-13
pass 1.7.3-2
patch 2.7.6-9
patchelf 0.12-1
pavucontrol 1:4.0-2
pbzip2 1.1.13-3
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.36-1
pcsclite 1.9.1-1
perl 5.32.1-1.1
perl-algorithm-diff 1.1903-6
perl-alien-build 2.38-1
perl-alien-libxml2 0.17-1
perl-autovivification 0.18-6
perl-b-hooks-endofscope 0.24-3
perl-business-isbn 3.004-7
perl-business-isbn-data 20140910.003-7
perl-business-ismn 1.201-4
perl-business-issn 1.003-4
perl-capture-tiny 0.48-4
perl-class-accessor 0.51-2
perl-class-data-inheritable 0.08-9
perl-class-factory-util 1.7-10
perl-class-inspector 1.36-3
